i theta vel
298 1.8431160388509278 -11.08390169786154
299 5.594754107556636 -9.884837550801718
300 1.4721362045092456 -10.720936778818063
301 0.45511480960720463 -9.925284458046907
302 0.6308035759921615 -9.993185968602363
303 4.966470198614615 -10.095117432967983
304 5.105033115283732 -9.964424588734174
305 2.6511858442331944 -11.227643359098076
306 6.203440174301368 -9.568677590890847
307 1.8604054457198826 -10.778961835791558
308 0.0320436705372666 -9.520269986295906
309 2.056460356322486 -10.842244531797364
310 2.9104470264232005 -11.080999867239822
311 1.0934721775715275 -10.025898574630045
312 5.370828702100825 -9.538433499285961
313 0.7491324566043085 -9.697042247537093
314 1.0729828686255982 -9.910083823466499
315 2.436842715120685 -10.833092602126719
316 4.333505756677103 -10.167102161641617
317 1.6890350565974706 -10.318676224255304
318 3.894037075321206 -10.440440982237
319 0.7878079012727006 -9.53044986470725
320 5.949417953723258 -9.10445208901719
321 4.118189421482839 -10.18204170632979
322 4.758595702170559 -9.63376242362584
323 2.565641923126952 -10.621190251470706
324 5.0735988476740355 -9.339423081771129
325 6.087532406494007 -8.946796751289805
326 1.428413628018158 -9.825977868347579
327 5.493316172490751 -9.011331013906528
328 0.8473777386402138 -9.296090434606231
329 5.720955423617539 -8.87138836328471
330 0.5993735981446974 -9.067728929513606
331 4.0339751377470705 -9.94678041090172
332 0.14010363814002713 -8.794580944049859
333 1.900598789805742 -9.986903532684028
334 3.642048418222469 -10.119353354535484
335 4.278219269008787 -9.641561036397087
336 3.920031595440296 -9.886323616792284
337 1.483948464807117 -9.548555581174918
338 5.334498737847314 -8.771889935767923
339 0.25443614849686386 -8.63391912766849
340 1.8993715017274784 -9.786532512856617
341 3.5366535204602 -9.97881149910055
342 1.0753641409647756 -9.069856572588494
343 1.0909684957127443 -9.054933799967756
344 4.305814988086326 -9.371005700834377
345 1.3225121004551927 -9.19174732007117
346 1.0916073007712326 -8.973784670682544
347 4.109965795287946 -9.446203808297888
348 0.8360942756821965 -8.722214717646784
349 1.6104703472267694 -9.322210200256311
350 4.871939108399529 -8.755910949868213
351 5.210930532069192 -8.494424562278885
352 4.5458581015267905 -8.964362288768074
353 0.7794568291599763 -8.550151035882008
354 4.353698975776001 -9.071022148998047
355 4.914667905105678 -8.595677746038955
356 0.47137423654640265 -8.28062314513823
357 1.38188097572499 -8.926485507288907
358 5.077830257967391 -8.40360659836985
359 4.7406505426317045 -8.630417376464672
360 5.666487889265104 -8.05098513231274
361 2.7689562292672636 -9.613421931035749
362 2.5006822083324547 -9.529798802322455
363 5.018403768561848 -8.322514039154406
364 4.534830251439225 -8.675675286810074
365 1.1479427648046892 -8.53355533783994
366 5.7502814554844734 -7.881514762288718
367 1.7940211688449668 -9.01129138578886
368 4.98652974597663 -8.226202105138585
369 5.115977983440719 -8.112731973081859
370 2.0018843778347715 -9.086772133191062
371 6.221856493020398 -7.733916141914664
372 0.8688266160139423 -8.147661419062175
373 2.8807120308553786 -9.334907817675418
374 2.9104606376178173 -9.312179370353011
375 1.3442845878634981 -8.460440396879328
376 4.068864578330539 -8.770416911189807
377 1.867864522258092 -8.832224763791464
378 6.231201475927986 -7.574909231585211
379 2.071304321042171 -8.92405125532061
380 0.20582520865892653 -7.592262018414351
381 2.1933908833568894 -8.950782299953104
382 1.787091286235798 -8.66044823433224
383 4.226074623024383 -8.493782539254727
384 0.710536188244474 -7.7645432502023795
385 1.1838426298101217 -8.102994327672304
386 4.965933262529076 -7.837827980674699
387 4.314044395704195 -8.3372852840304
388 1.3182859035896237 -8.149814604982613
389 0.7267179589423499 -7.667362012684258
390 3.081437308049516 -8.948228338482915
391 1.9843842130842861 -8.606619829516456
392 1.651703586961136 -8.339478840130603
393 4.5228201379681785 -8.040856673005846
394 1.5723688294685345 -8.233663323829248
395 5.0449097124887965 -7.593255409879786
396 3.0553814576614218 -8.827179207878913
397 1.7240368359598857 -8.292537608750909
398 4.258948862934553 -8.15446893012642
399 2.2514688725466323 -8.59980301199522
400 1.999611825664828 -8.430945711794493
401 1.80020697618083 -8.269510104643995
402 0.9658940293740188 -7.572999531591144
403 3.1071880265424006 -8.679428359411917
404 5.325406517659963 -7.235825299674726
405 0.06163144207467705 -7.028808308662546
406 1.2499053740070576 -7.723223452122584
407 5.343972312113482 -7.1673660585778975
408 1.7982745251700007 -8.12976898206933
409 6.095195537141796 -6.920586702338932
410 1.9588600695939204 -8.20660395930638
411 3.716057524064731 -8.288749570701937
412 4.918538905540566 -7.352421618604206
413 4.353768627799739 -7.7874406994570355
