i R \phi
158 0.022556716195298483 1.2769885825595737
159 0.023340122144238737 1.2568981785591835
160 0.023894659315874204 1.3545301924587292
161 0.022018866907225862 1.3367484331584774
162 0.02269368631896398 1.381485763363514
163 0.023260933283371834 1.3122860699746115
164 0.02324150036887638 1.3649667164380677
165 0.022724334874002865 1.3719333922181913
166 0.023540125541309354 1.3688419368852727
167 0.022522798382761666 1.3878860664302144
168 0.022231364456754454 1.460105403976772
169 0.022959314704078845 1.4423444780865462
170 0.02159511676618411 1.4584097347220126
171 0.020541582099120746 1.3537684233884857
172 0.01928144734840693 1.3649356074168315
173 0.0196296797507981 1.3953642342090031
174 0.019402038966139158 1.4200566843204283
175 0.020209510427112772 1.4659744574861358
176 0.01969805259828018 1.4156573290434704
177 0.019529901040327823 1.429858325557878
178 0.020471133001368956 1.4492529386704485
179 0.020316594187009984 1.531607145829305
180 0.020377588202008377 1.5179832928372783
181 0.020268593727596186 1.5200031820527276
182 0.02176483840805959 1.4830241268532396
183 0.022187890045270612 1.460733824721455
184 0.022812371522168504 1.5197912133222526
185 0.02190566557867705 1.569688835548486
186 0.021234535305535703 1.5593595265778855
187 0.022571463382726312 1.4898567109140775
188 0.022110460087186156 1.5274422465557933
189 0.022654248296521826 1.5417739798090957
190 0.02269798758490793 1.540841760341739
191 0.023372373875125755 1.5560782426798008
192 0.022893413620088204 1.5189603565529481
193 0.022366086513874266 1.5299787413894648
194 0.021171952966256163 1.4797693514890629
195 0.020037928526174136 1.4239153180364896
196 0.020409561713977526 1.4557930408539534
197 0.020611768310837986 1.417753853494146
198 0.020109847327349405 1.4123663713026362
199 0.020060068541540063 1.4240758770975799
200 0.02141401495653907 1.4411750622185553
201 0.02185458765861832 1.4456739849956552
202 0.024112718297147787 1.3498438289199688
203 0.025366063362890177 1.378901246161397
204 0.026372371605633372 1.3683104210413044
205 0.02676775439349723 1.4098183473510728
206 0.02644948000842998 1.3622285983561266
207 0.02696711720882697 1.3169988203988523
208 0.027239970311398052 1.3489745139537788
209 0.02777649753476332 1.261600249555935
210 0.02727546163422386 1.1732251266270333
211 0.02812967819038252 1.1976951397229567
212 0.029351627856242533 1.236994799023905
213 0.029045424033367673 1.2521367396309326
214 0.029793169155423033 1.3082357561598879
215 0.030628010589728357 1.374657934758892
216 0.030182874098696782 1.3644023446127742
217 0.02941838557503194 1.3580246854533364
218 0.029882220681890136 1.368150252414674
219 0.030128084475952156 1.3748112321634705
220 0.030163767693203666 1.4418824513627069
221 0.031391287034655956 1.4961780870354127
222 0.031185472861566366 1.4997796594165864
223 0.030428995512698048 1.541483639192085
224 0.03199733225101223 1.488987694450781
225 0.03211656914718641 1.5497832640835443
226 0.030676596652812742 1.5476848115450383
227 0.02934594578313662 1.55848597445438
228 0.029584343735420293 1.5209448238655303
229 0.030311048500045703 1.5476363972083615
230 0.031109007375498536 1.5619081702702171
231 0.03143162279549021 1.5523716853328346
232 0.03173756039400604 1.5369947767837357
233 0.032281646042389735 1.5218649570149942
234 0.03221168006661106 1.5232750229728227
235 0.0314752614340987 1.4619678401584588
236 0.03078355211642801 1.4325018515905008
237 0.030393937004485963 1.4390224689607867
238 0.029363535484615122 1.4383187899582646
239 0.029611887918537624 1.4695784881491978
240 0.029449603238999884 1.406936526081736
241 0.028237076306777693 1.4415505309583396
242 0.026834365490283733 1.4486509279022648
